question,links,summary,answers,votes,tags
React Native - iOS - Local image invisible (works on android),https://stackoverflow.com/questions/52009251,I'm mapping TouchableOpacity with an Image nested inside of it. It works great on Android but on iOS the image is invisible. There is still a 75x75 touchable opacity that I can tap but the image is ...,1,21,javascript ios reactjs react-native expo
Trouble importing from module after mix a compile,https://stackoverflow.com/questions/43768589,"I'm in the process of re-writing my electron app with ES6, using Laravel Mix to compile the app JS and SASS. Now the main process loads up the render process fine. Once that happens my app.js loads up ...",1,21,javascript ecmascript-6 electron laravel-mix
Dropzone.js no longer uploading multiple imgs to website on Android,https://stackoverflow.com/questions/31442122,"Up until about a couple weeks ago, my web app was working great on desktop and mobile, using dropzone.js as a drag and drop means of uploading images. Now suddenly on my Android device things have ...",1,21,javascript dropzone.js
"re-enable disabled menu ""save video as"" chrome ext or chrome itself ""Save Video As""",https://stackoverflow.com/questions/39360975,"How can I re-enable the ""Save Video As"" option when it is disabled on a video? This is basically the opposite of this question. Is there a global command I can send to the chrome command line which ...",1,21,javascript html google-chrome
How to convert a nested json object into an excel table using the xlsx npm library?,https://stackoverflow.com/questions/56598405,"I've got a nested json object. For the sake of simplicity: data = {'key1': 1, 'key2': 2, 'key3': {'nestedKey1': 3, 'nestedKey2': 4}} A real object is bigger but the point is that it's a nested one. ...",2,21,javascript angular xlsx sheetjs
Uploading File in parts using XMLHttpRequest and auth digest,https://stackoverflow.com/questions/50840417,I am trying to upload a local mp4/movie file with XMLHttpRequest() on a server. This is written with react-native and in a final version user would be able to upload any big files from his/her IOS/...,1,20,javascript react-native upload xmlhttprequest blob
Cross Origin in ajax not working for .properties file in IOS (10.3.1),https://stackoverflow.com/questions/44717999,I used i18n plugin for load *.properties file for translation and its working fine on android platform but same library not working on IOS 10.3.1. It gives me below error: i have done some changes in ...,1,20,javascript jquery ios ajax ios10.3
Embedding react-boilerplate in Rails 5.1,https://stackoverflow.com/questions/43137712,Has anyone tried integrating react-boilerplate into a Ruby on Rails 5.1 app? It looks like the 5.1 approach to embedding React components in views is fairly simple. Rails 5.1 is using webpacker which ...,1,20,javascript ruby-on-rails webpack react-boilerplate
Add iOS speech recognition support for web app?,https://stackoverflow.com/questions/28592170,"Currently, the HTML5 web speech api works great on google chrome for all devices except mobile iOS. Text-to-speech works, but speech-to-text is not supported. webkitSpeechRecognition is not supported. ...",1,20,javascript ios html google-chrome speech-recognition
How can I get the stack trace for a JavaScript exception in IE 8?,https://stackoverflow.com/questions/15810402,"When a JavaScript exception is thrown in IE 8, how can I see its stack trace? For example, the following code from jQuery catches an exception and rethrows it. Debugging in Visual Studio (2012), ...",0,20,javascript debugging exception internet-explorer-8 stack-trace
Adding a script to an Angular Library,https://stackoverflow.com/questions/50990388,"I am trying to export some components of my Angular 6 application into a library. Unfortunately, I need to use a WebToolkit to connect to a proprietary service build by other people, which is only ...",1,19,javascript angular angular-cli
Replace Maven Archetype property in JavaScript file,https://stackoverflow.com/questions/24698956,I'm trying to create a Maven Archetype for a Java web app and I have some JavaScript files I want it to generate. Is it possible to use Maven Archetype properties in the JavaScript file such that it ...,1,19,javascript maven properties maven-archetype
Copy to clipboard BINARY data in browsers,https://stackoverflow.com/questions/13848337,"State of the art in Copy to Clipboard feature (My investigations) Flash alternative I have found the following alternatives: Zclip: we are using zeroclipboard (ancestor, zclip uses its button flash ...",1,19,javascript flash coffeescript clipboard
The simplest way to solve gimbal lock when using DeviceOrientation events in javascript - How to make a perfect spirit level/bubble level app,https://stackoverflow.com/questions/69216465,"Starting with... window.addEventListener(""deviceorientation"", handleDeviceTilt); function handleDeviceTilt(event){ // Here we can use event.beta, event.gamma // Note that we don't need event....",1,19,javascript device-orientation deviceorientationevent
jQuery ajax() function is ignoring dataType parameter in Firefox,https://stackoverflow.com/questions/17431081,"I'm trying to use jQuery.ajax() to fetch some html, but Firefox is giving me a ""junk after document element"" error message. As explained here and here the problem seems to be that Firefox is expecting ...",3,19,javascript ajax jquery firefox
"Vue.js: inconsistent ""Unknown Custom Element"" that's resolved on a HMR",https://stackoverflow.com/questions/60422248,I am familiar with component registration. This is not the low-hanging fruit related to: Vue.js component Unknown custom element Unknown custom element when nesting components in Vue.js The Problem ...,1,18,javascript typescript vue.js webpack vuetify.js
Having trouble working with SelectWoo instances of Select2 within WooCommerce,https://stackoverflow.com/questions/56386378,I am using Select2 within WooCommerce in some of my own custom areas and I am targeting it with some code to add and removes certain classes and it's working fine except for the SelectWoo instances ...,0,18,javascript jquery woocommerce jquery-select2 jquery-select2-4
Drag and drop issue in Chrome related to Windows scale (125%),https://stackoverflow.com/questions/52407557,"I have an issue with drag and drop on Chrome (v69.0.3497.100). Specifically, some of the drag and drop events are getting fired when Windows scaling is other than 100% even though they shouldn't be ...",2,18,javascript html google-chrome drag-and-drop
Jasmine: How to mock MutationObserver?,https://stackoverflow.com/questions/50398703,"I have a angularjs component, HTML template <div id=""panel"" class=""hide-div""> <div id=""viewPort"" class=""hide-div""> ... </div> </div> JS var myController = ...",0,17,javascript angularjs jasmine karma-jasmine mutation-observers
How to minify and factor-bundle files in the same browserify command?,https://stackoverflow.com/questions/32018901,"I currently have this factor-bundle command which I use to bundle my files, and pull everything common into a common file: browserify index.js bar-charts.js list-filter.js dashboard.js -p [ factor-...",1,17,javascript browserify uglifyjs factor-bundle
"Generate PDF using EVOPdf, WebAPI and AngularJS",https://stackoverflow.com/questions/31934297,"I'm having an issue rendering a PDF using EVOPdf from a WebAPI controller to an AngularJS app. This is my code so far: Angular call: var url = 'api/form/build/' + id; $http.get(url, null, { ...",3,17,javascript angularjs pdf asp.net-web-api evopdf
Recaptcha V3 error incorrect-captcha-sol randomly,https://stackoverflow.com/questions/67935841,"I'm getting incorrect-captcha-sol error code sometime while using Google reCAPTCHA server side verification api. I have integrated google recaptcha validation to some of my apis. To do so, I pass ...",1,17,javascript recaptcha recaptcha-v3
Looking for a Dual Listbox with AngularJS and Bootstrap,https://stackoverflow.com/questions/38101913,I am looking for a component like this to be included in my project: http://geodan.github.io/duallistbox/sample-100.html I want to install it with npm. The problem is that I tested some of the ...,3,17,javascript angularjs twitter-bootstrap npm
Play multiple instances of an html5's Audio object,https://stackoverflow.com/questions/4728352,"I'm making a small game in Javascript and it requires some audio for better user experience. The main issue I have is that I have to play 1 song/sound multiple times, and sometimes at the same time. ...",3,17,javascript html audio
"Incorrect line numbers - sourcemaps, Webpack 2 Typescript",https://stackoverflow.com/questions/45225076,This issue occurs in Chrome 59.0.3071.115 and Firefox 54.0.1 I have been doing a lot of research on trying to get correct line numbers for my Typescript source code using Webpack 2.2.1 and the open-...,1,17,javascript angular google-chrome typescript webpack
Accessing API works fine with cURL but not with Fetch API,https://stackoverflow.com/questions/53506848,"I know this has been addressed a lot of times on SO, but all the answers are mostly in the vein of ""add a certain header to the server"". In this case, the API (Shopify) works perfectly fine and can ...",1,17,javascript curl shopify fetch-api
Html2Canvas problems with thai language,https://stackoverflow.com/questions/31579565,"Run this code and then 'save' you will difference of image. Any solution to solved this problem? Example of code $(document).on(""click"", ""#save"", function() { html2canvas( $(""body""), { ...",2,17,javascript jquery screenshot html2canvas
JavaScript FileReader Slice Performance,https://stackoverflow.com/questions/66244868,"I am trying to access the first few lines of text files using the FileApi in JavaScript. In order to do so, I slice an arbitrary number of bytes from the beginning of the file and hand the blob over ...",0,16,javascript blob filereader fileapi
Run jest unit tests in real browser environment with window access using puppeteer,https://stackoverflow.com/questions/52892441,"What i want My code widely depends on global window object (and it's methods) which isn't fully implemented by jsdom, but available in real browser environment. So i want to run unit tests inside ...",0,16,javascript unit-testing jestjs puppeteer jest-puppeteer
"Rails Activestorage + DirectUpload javascript progress bar not showing when using ""remote:true""",https://stackoverflow.com/questions/52583138,"I have been using Rails ActiveStorage DirectUpload in my Rails app. And here is the code of the form: <h3>Select Files To Upload</h3> <%= form_for @uploader, url: uploaders_file_path(@...",1,16,javascript ruby-on-rails ruby-on-rails-5 rails-activestorage
vue-cli build a lib from component and import it,https://stackoverflow.com/questions/51772729,"I'm using vue-cli for build my lib with this command: ""build"": ""vue-cli-service build --target lib --name myLib ./src/component.vue"" How can I import my component from the dist folder after the ...",2,16,javascript vue.js vuejs2 vue-component vue-cli
Updating AngularJS scope after validating search form in Symfony2,https://stackoverflow.com/questions/35056544,"Hi fellow developers, We have to rewrite a software application in Symfony2 with AngularJS, we use Symfony2 for the MVC purpose and AngularJS for the useful functions. Here's our problem, we first ...",1,16,javascript php angularjs json symfony
Change data id onclick,https://stackoverflow.com/questions/33754789,"I need to change data-matchId value when user clicks a button. I can get value on click but can not set it to data-matchId. HTML Part: <script id=""betradar"" type=""text/javascript&...",3,16,javascript html jquery dom
How to add Spine animation to Phaser game?,https://stackoverflow.com/questions/27154988,"I am new to Phaser and the whole javascript games, and I am trying to add Spine animation to Phaser. Is there a way to do that? I also tried to play my animation using Pixi.js and it worked. Also I ...",1,16,javascript animation phaser-framework pixi.js
